Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990,302.3,109.9,30.1,22,40.1,10.2,1.1,9.8,1.7,3.8,80.5,100.1
1991,198.3,252,182.2,36.4,1.1,6.8,13,4.4,1.7,54.6,105.8,166
1992,206.7,9,118.7,90.5,1.7,15.8,7.8,21.1,0,13.2,76.3,169
1993,426.1,247,123.4,467.7,3.3,49.1,11.5,9,2.8,45.5,79.3,125.2
1994,330.7,207.1,150.2,70.9,0.7,7.9,0,0,83,0,27,131.1
1995,257.2,130.7,28.2,7.6,20.7,10,7.9,0,0,0,184.6,421
1996,211.7,269.2,126.2,32.8,8.9,0,3.9,0,0,0,33.7,314
1997,432,489.6,158,51,12.5,7.2,4.1,2,5.1,35.1,76.5,287.6
1998,266.1,168.2,159,25.5,0.3,4.7,5.2,7.3,0,12.5,109.4,215.8
1999,384.6,305.7,263.1,93.5,0.1,18.6,7.1,0,0.4,81.3,92.1,92.8
2000,312.2,339.6,127.3,32.1,22.4,0,0,0,0.2,35.3,153.1,173.3
2001,175.6,390.1,261.6,48,17.5,2.2,3.9,4,15.9,23,90.6,247.4
2002,274.8,199.4,646.9,137.1,8,15.5,11,15.3,16.4,28,28,297.1
2003,247.9,301.5,207.8,6.9,11.2,7.2,15.1,4,3.8,0.2,23.5,82.1
2004,246.7,400,171.5,120.3,20.5,0,0,4.4,0.4,59.9,171.8,274.4
2005,215.6,103.8,6.2,15.5,0,3.4,11.8,0,29.7,0,81.9,261.6
2006,300.4,289.1,249.3,83.7,2.8,5.7,3.4,0,30,1.9,186,216.3
2007,339.6,269.9,160.9,32.5,9.5,10,16.1,5,3.5,20,50.8,374.2
2008,396.5,68.4,127.1,0,1.3,8.8,4.1,15.6,0,13.5,36,384.6
2009,279.4,227.7,162.5,34.3,10.5,9,0,7.5,0,0,118,179.4
2010,181,405.5,194.5,131.9,0,8.6,23.3,15.5,0.6,8.2,162.5,306.3
2011,215.6,76.7,211.5,85.9,1.1,0.7,8.2,2,0,74,0,126.9
2012,349.4,112.2,204.8,35.3,3.5,8,0,0.5,0,34.8,14.7,289.4
2013,296,404.5,198.7,22.7,7.5,30.7,5.1,1.7,3.7,80.2,57.4,205.6
2014,260.8,215.2,36.8,25,15.5,6.1,24.9,0,7.9,9.7,1.2,209.9
2015,886.9,216.9,89.5,131.1,0.7,2.5,0,0,2,18.9,39.7,194.6
2016,201.2,215.1,105.5,14.8,6.1,7.4,25,1.5,0,10.6,146.4,219.6
2017,209.3,180.7,131.4,89.7,5.6,0.1,1.5,1.9,0,21.2,114.4,198.8
2018,115.8,263.5,78.6,130.6,11,20,270,0,7.9,29.4,127.8,420.5
2019,415,162.2,369.1,66.6,16.4,13.6,8.5,5,3.7,26.6,124.6,212.9
2020,532,194.7,27.1,14.8,11.8,1.2,21.7,1.5,0,0,68,102.9
2021,290.7,247.5,102.3,17.6,4.9,5.6,17.7,0.3,0,16.4,52.1,85.3
2022,573.7,268.1,216.6,43.5,0,35.2,0.9,3.6,2.5,3.4,67.5,349.6
2023,314.5,241.2,672.9,80.5,0,0,0,0,0,38.3,45.2,200.3
